EducationLevel,Location,Method,Program,Term,URL,University
Master's degree,"		Sunderland, England
","<span title=""Delivery method""><i class=""fal fa-globe""></i> On campus</span>",Tourism and Hospitality,"<span title=""Length"">1 year</span>",/study-abroad/university-of-sunderland/tourism-and-hospitality-956711,University of Sunderland
Doctorate / PhD,"		Guildford, England
","<span title=""Delivery method""><i class=""fal fa-globe""></i> On campus</span>",Hospitality and Tourism Management PhD,"<span title=""Length"">48 months</span>",/study-abroad/university-of-surrey/hospitality-and-tourism-management-phd-1021533,University of Surrey
Bachelor's degree,"		Sunderland, England
","<span title=""Delivery method""><i class=""fal fa-globe""></i> On campus</span>",International Tourism and Hospitality Management,"<span title=""Length"">3 years</span>",/study-abroad/university-of-sunderland/international-tourism-and-hospitality-management-956716,University of Sunderland
Master's degree,"		Coventry, England
","<span title=""Delivery method""><i class=""fal fa-globe""></i> On campus</span>",International Hospitality and Tourism Management MSc,,/study-abroad/coventry-university/international-hospitality-and-tourism-management-msc-895647,Coventry University
Bachelor's degree,"		Coventry, England
","<span title=""Delivery method""><i class=""fal fa-globe""></i> On campus</span>",Tourism & Hospitality Management BA (Hons),"<span title=""Length"">3 years</span>",/study-abroad/coventry-university/tourism-hospitality-management-ba-hons-895652,Coventry University
Bachelor's degree,"		Sunderland, England
","<span title=""Delivery method""><i class=""fal fa-globe""></i> On campus</span>",International Tourism and Hospitality Management (Top-Up),"<span title=""Length"">12 months</span>",/study-abroad/university-of-sunderland/international-tourism-and-hospitality-management-top-up-956714,University of Sunderland
Master's degree,"		Birmingham, England
","<span title=""Delivery method""><i class=""fal fa-globe""></i> On campus</span>",Hospitality with Tourism Management MSc / PGDip,"<span title=""Length"">3 years</span>",/study-abroad/university-college-birmingham/hospitality-with-tourism-management-msc-pgdip-924413,University College Birmingham
Bachelor's degree,"		Sunderland, England
","<span title=""Delivery method""><i class=""fal fa-globe""></i> On campus</span>",International Tourism and Hospitality Management with Integrated Foundation Year,"<span title=""Length"">4 years</span>",/study-abroad/university-of-sunderland/international-tourism-and-hospitality-management-with-integrated-foundation-year-956713,University of Sunderland
Bachelor's degree,"		Birmingham, England
","<span title=""Delivery method""><i class=""fal fa-globe""></i> On campus</span>",Hospitality and Tourism Management BA (Hons) / FdA,"<span title=""Length"">3 years</span>",/study-abroad/university-college-birmingham/hospitality-and-tourism-management-ba-hons-fda-924400,University College Birmingham
Diploma / certificate,"		Birmingham, England
","<span title=""Delivery method""><i class=""fal fa-globe""></i> On campus</span>","Tourism, Aviation, Events and Hospitality Level 3","<span title=""Length"">2 years</span>",/study-abroad/university-college-birmingham/tourism-aviation-events-and-hospitality-level-3-1585795,University College Birmingham
Master's degree,"		London, England
","<span title=""Delivery method""><i class=""fal fa-globe""></i> On campus</span>",MA Tourism & Cultural Policy,,/study-abroad/goldsmiths-university-of-london/ma-tourism-cultural-policy-1610726,"Goldsmiths, University of London"
Master's degree,"		Guildford, England
","<span title=""Delivery method""><i class=""fal fa-globe""></i> On campus</span>",International Tourism Management MSc,"<span title=""Length"">1 year</span>",/study-abroad/university-of-surrey/international-tourism-management-msc-1470824,University of Surrey
Bachelor's degree,"		Sunderland, England
","<span title=""Delivery method""><i class=""fal fa-globe""></i> On campus</span>",Tourism Management,,/study-abroad/university-of-sunderland/tourism-management-956710,University of Sunderland
Bachelor's degree,"		Derby, England
","<span title=""Delivery method""><i class=""fal fa-globe""></i> On campus</span>",BA (Hons) International Tourism Management,"<span title=""Length"">3 years</span>",/study-abroad/university-of-derby/ba-hons-international-tourism-management-1356017,University of Derby
Master's degree,"		Birmingham, England
","<span title=""Delivery method""><i class=""fal fa-globe""></i> On campus</span>","Marketing Management for Events, Hospitality and Tourism MA / PGDip","<span title=""Length"">18 months</span>",/study-abroad/university-college-birmingham/marketing-management-for-events-hospitality-and-tourism-ma-pgdip-924448,University College Birmingham
Bachelor's degree,"		Cornwall, England
","<span title=""Delivery method""><i class=""fal fa-globe""></i> On campus</span>",Sustainable Tourism Management BA (Hons),"<span title=""Length"">2 years</span>",/study-abroad/falmouth-university/sustainable-tourism-management-ba-hons-1412453,Falmouth University
Bachelor's degree,"		London, England
","<span title=""Delivery method""><i class=""fal fa-globe""></i> On campus</span>",Tourism and Travel Management BA (Full-time),"<span title=""Length"">3 years</span>",/study-abroad/london-metropolitan-university/tourism-and-travel-management-ba-full-time-1398576,London Metropolitan University
Bachelor's degree,"		Coventry, England
","<span title=""Delivery method""><i class=""fal fa-globe""></i> Online / Distance</span>",BA (Hons) Business (Tourism) (CMI),,/study-abroad/arden-university/ba-hons-business-tourism-cmi-1444015,Arden University
Bachelor's degree,"		Coventry, England
","<span title=""Delivery method""><i class=""fal fa-globe""></i> Online / Distance</span>",BA (Hons) Business (Tourism) (Top-Up),,/study-abroad/arden-university/ba-hons-business-tourism-top-up-1444016,Arden University
Bachelor's degree,"		Birmingham, England
","<span title=""Delivery method""><i class=""fal fa-globe""></i> On campus</span>",International Tourism Management BA (Hons) / FdA,"<span title=""Length"">3 years</span>",/study-abroad/university-college-birmingham/international-tourism-management-ba-hons-fda-924404,University College Birmingham
