Company,Description,Industry,Location,URL
株式会社ＳＵＺＵＫＩ,"
                  「ソリオ」「アルト」シリーズなどの自動車や自動二輪車の製造及び販売を行う会社
                ",自動車・乗り物業界の会社,"
                  本社住所: 静岡県賀茂郡松崎町宮内２６０番地の１
                ",https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/66a86a72-be9c-4de3-b965-66e541af6139
株式会社ＪＥＲＡ,"
                  国内外にて石炭貿易や火力発電を行う会社
                ",機械関連サービス業界の会社,"
                  本社住所: 東京都中央区日本橋２丁目５番１号
                ",https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/9942ca99-658b-4498-a6be-1e12946f040e
豊田通商株式会社,"
                  金属分野やグローバル部品・ロジスティクス分野などのトレーディング業務を手掛ける会社
                ",機械関連サービス業界の会社,"
                  本社住所: 愛知県名古屋市中村区名駅４丁目９番８号
                ",https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/7a561077-5c8c-45fb-83bd-81fe3f20332a
東洋冷蔵株式会社,"
                  マグロやサケ・エビ等水産物の養殖及び加工・輸入を行う会社
                ",食品業界の会社,"
                  本社住所: 東京都江東区永代２丁目３７番２８号
                ",https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/111ef65c-771c-462c-b54a-a3f771b6f75b
郵船コーディアルサービス株式会社,"
                  人材派遣や海運代理店業などを行っている会社
                ",人材業界の会社,"
                  本社住所: 東京都千代田区神田錦町１丁目６番地
                ",https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/09310424-db53-4b5e-a1cb-55e52632a4b0
イオングローバルＳＣＭ株式会社,"
                  イオングループの物流センターの管理と運営および物流業務の受託を行う会社
                ",運輸・物流業界の会社,"
                  本社住所: 千葉県千葉市美浜区中瀬１丁目５番地１
                ",https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/e55379fd-050c-4677-8e80-78862074ca1a
川西倉庫株式会社,"
                  貨物の倉庫保管や港湾運送などの物流サービスの提供を行う会社
                ",運輸・物流業界の会社,"
                  本社住所: 兵庫県神戸市兵庫区七宮町１丁目４番１６号
                ",https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/ba0a2fbc-64ed-4a25-882d-312fbc67480a
ラオックス株式会社,"
                  「総合免税店ラオックス」の運営や生活ファッション事業などを手掛ける会社
                ",アパレル・美容業界の会社,"
                  本社住所: 東京都港区芝公園２丁目１１番１号
                ",https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/0d724c58-1714-4cb3-aa7d-2976f60289dc
宇部興産海運株式会社,"
                  貨物の輸送や貿易の代行を行う会社
                ",建設・工事業界の会社,"
                  本社住所: 山口県宇部市港町１丁目５番５号
                ",https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/46f3605a-45d1-4344-a0af-47dd9bdbbdcf
国際貿易株式会社,"
                  NTTドコモの代理店の運営などを行う会社
                ",エンタメ業界の会社,"
                  本社住所: 山口県周南市大字久米３２０２番地の１５
                ",https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/deecf5ab-dcec-45e3-89bc-017fdea30450
旭タンカー株式会社,"
                  白油や黒油など石油類を中心に海運事業を行う会社
                ",運輸・物流業界の会社,"
                  本社住所: 東京都千代田区内幸町１丁目２番２号
                ",https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/9e39379c-c997-4ee1-b672-5b062f6c5fc6
