Company,Industry,Location,Description,URL
株式会社日中社,Advertising industry company,"Headquarters Address: 16th NAS Building, Kanda-cho, Chiyoda-ku, Tokyo",Company that conducts trading between Japan and China and promotional consulting in China,https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/9dda739d-08e2-4c9d-8374-52bf03d1eade
丸正通商株式会社,Advertising industry company,Headquarters Address: Osaka Prefecture Neyagawa City Kariishi-cho No. 9-10-1101,Company that plans events and translation businesses and trade,https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/f3cf85ea-f407-452c-899a-0317a5f34ae6
株式会社ファーストペンギン,Advertising industry company,"Headquarters Address: Shibuya-ku, Tokyo Yoyogaya 1-chome 35 4th Annual tree Crystal Building 5F","A company that operates ASP ""Infotop"" that provides an affiliate system",https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/439f3611-1dfe-4f64-be50-949725958fbe
株式会社千寿,Advertising industry company,Headquarters Address: Shinjuku 2-chome No.111111111,Printing of bookbinding and trade agency,https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/835047dd-556e-4a3d-a9d9-7835139bd70f
株式会社フィールド,Advertising industry company,Headquarters Address: Tokyo Nerima Ward Nishi Oizumi 1-chome 2122222,Companies working with advertising production and overseas trade business,https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/14091e90-8f7a-4f94-8266-43dc99708011
株式会社ボナカジャパン,Apparel and Beauty Industry Company,"Headquarters Address: 1 Hundred Village, Metropolitan Castle City, Tokyo 1",Company that conducts trade and product planning development and production,https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/cc24cd27-0c92-4cd8-bf20-dbc8b23d5fe9
株式会社フオーベット,Apparel and Beauty Industry Company,"Headquarters Address: 26 at Namiyama-cho, Aichi Prefecture, Nagoya City, Aichi Prefecture","Company handling import select shop ""Fauvette""",https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/785b2b6f-7c78-4135-bc5c-706d759c5163
株式会社大晟,Apparel and Beauty Industry Company,Headquarters Address: Ehime Prefecture Nanri City South-Sayoshi Town 2-chome No. 15,A company that works and selling towels for business towels and events,https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/e1235871-8542-4e52-825a-d122858dbf8a
越ファブリック株式会社,Apparel and Beauty Industry Company,Headquarters Address: Fukui Prefecture Fukui City Matsumoto 4-chome 11th,Manufacture and wholesale of jacquard fabric for women's clothing,https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/18989770-7bdc-40c8-a46e-b5f3e118ed4c
アイピープランニング株式会社,Apparel and Beauty Industry Company,"Headquarters Address: Hirano-cho, Chuo-ku, Osaka City, Osaka Prefecture",Company that manufactures and sells textile products,https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/ef708be7-495b-4466-b03a-b8fcfc3710a3
愛信貿易株式会社,Apparel and Beauty Industry Company,Headquarters Address: Hyogo Prefecture Kobe City Higashinata Ward North Aoki 3-chome No.26 No. 26,A company that handles apparel products focusing on knitwear,https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/2d54b707-cf77-42e5-b33e-ab30e75df83f
株式会社日中エンジニアリング,Apparel and Beauty Industry Company,"Headquarters Address: Kawaguchi City, Saitama Prefecture, 3-chome, No. 21 21 Pione Building 4F",Company that conduct civil engineering and architecture design and trade,https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/5af6a7c4-bc98-4df8-b364-ac687678a364
株式会社スタジオアクア,Apparel and Beauty Industry Company,"Headquarters Address: Kyoto City, Kyoto City, Taeka-ku, Tatsuka Town 27st","Companys such as yarn, etc., company that produces apparel",https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/9f79c583-8004-4ba3-a487-526f6a34af55
株式会社ＤＨＡ　Ｃｏｒｐｏｒａｔｉｏｎ,Apparel and Beauty Industry Company,"Headquarters Address: Minato Ward Ward, Tokyo No.16 No.16 Nichirin Building 6F",A company that provides SIM card and trade business,https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/8145a04d-9005-4650-a8cf-92e1392de16c
ラオックス株式会社,Apparel and Beauty Industry Company,"Headquarters Address: Minato-ku, Tokyo 2-chome 11th No.1","A company that operates and life fashion businesses of ""general duty-free shop Laox""",https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/0d724c58-1714-4cb3-aa7d-2976f60289dc
株式会社トライスター,Apparel and Beauty Industry Company,"Headquarters Address: Minato-ku, Tokyo, Minato-ku, Tokyo 4-chome 4th No. 1 No. 2058",Companies that perform physical distribution operations and OEM production of textile products,https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/250a4ee9-43b9-4fe0-9822-6bf045362e4b
株式会社クレア,Apparel and Beauty Industry Company,Headquarters Address: Nagasaki Prefecture Nagasaki City No. 6 No. 12,A company that operates women's clothing stores and wholesale of clothing,https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/3d8d414a-d845-43bb-8b3b-0b4f108dd537
ソーキージャパン株式会社,Apparel and Beauty Industry Company,"Headquarters Address: Osaka Prefecture Chuo-ku, Chuo-ku, Osaka City, Chuo-ku 2nd No. 2","Companies to plan, manufacture and wholesale of hair care products and body care products",https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/59df3a2a-57a5-43a3-875c-cd5b6220af35
株式会社ＧＥＮＥＲＡＬ　ＭＥＲＣＨＡＮＴ　ＥＸＣＬＵＳＩＶＥ,Apparel and Beauty Industry Company,Headquarters Address: Osaka Prefecture Minoh City Spreader West 1-chome 13th No.17,"A company that addresses various businesses such as education and trade, investment business, such as education and trade, investment business, shaft aparel clothing manufacturing and sales business",https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/0c8c38d1-38a3-41c0-87a4-d8c9669de15c
株式会社ケイエイ,Apparel and Beauty Industry Company,Headquarters Address: Osaka Prefecture Osaka City Tennoji Ward Shimizu-cho No. 33,"Corporate clothing goods ""Ripple"", OEM products, planning and manufacturing of imported products, wholesale",https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/c869889d-a8bc-4a42-9ee0-77d53d1cc17e
株式会社サンテイ,Apparel and Beauty Industry Company,"Headquarters Address: Seki-shi, Gifu Prefecture, Mt. 1-chome 5",A company that conducts trade duties related to men's clothes and women's clothes,https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/10c427da-a985-4bca-ad59-ecd98c11e903
株式会社ワイゲート,Apparel and Beauty Industry Company,"Headquarters Address: Tokyo, Itabashi-ku, Ward, 1-chome 52 No. 3","Company that cars and sells precious metals and real estate, and cemetery development",https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/db882fde-f861-49d7-b6d4-dae1a003990d
株式会社ＳＵＺＵＫＩ,Automobile and ride industry company,"Headquarters Address: 1 of Kamo-gun, Shizuoka Prefecture, Matsuzaki-cho","Company that manufactures and sells automobiles and motorcycles such as ""Solio"" and ""Alto"" series",https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/66a86a72-be9c-4de3-b965-66e541af6139
株式会社ＪＡＰＴＥＣ,Automobile and ride industry company,"Headquarters Address: 23 of Aichi Prefecture Seto City, Miyagucho, 114",Company that manufactures trade support to Iran and printed circuit board of automotive electronic device,https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/6f1104ef-bfdc-4a62-8f51-8796840a8b80
株式会社八神商会,Automobile and ride industry company,"Headquarters Address: Aichi Prefecture Nagoya City, Aichi Ward Sakurayama-cho 1-chome 15",Company that trade for bicycle related products,https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/2d1e13c0-bac3-4103-a99f-c8dabe80067f
株式会社ＪＳＣ,Automobile and ride industry company,"Headquarters Address: Ashiya-gun, Ashiya-gun, Fukuoka Prefecture Beppu 4-chome 1-2","Company importing daily product purchase and miscellaneous goods, car rental business",https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/2dc71d6e-67c7-4cec-bad5-91cc2fce6d4e
株式会社タカハシ商会,Automobile and ride industry company,"Headquarters Address: Hokkaido Sapporo City Toyohira-ku, Toyohiro-ku, Toyohiro, Toyohiro, Toyohiro, Taoi Ward, Sapporo City No.18","Company that conducts overseas exports, purchase and selling new products and used tires",https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/58f2a142-1f00-47b3-b00a-91da410dd78a
日本啓辰貿易株式会社,Automobile and ride industry company,"Headquarters Address: Hyogo Prefecture Kobe City Chuo-ku, Northern Naoh Naumi Naumi 3-chome No. 1 3Qee Building 2F",A company that carries out real estate trading and managing Chinese restaurants,https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/432c749b-f9e2-4939-a4c3-3c94b2ad486f
株式会社アムス,Automobile and ride industry company,"Headquarters Address: Ichinomiya City, Aichi Prefecture Oshima 14th",Companies that plan and sell cars such as drive recorders,https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/57cf324f-a1d1-4d3c-aef5-234aebb1a9ec
株式会社カインドテクノストラクチャー,Automobile and ride industry company,"Headquarters Address: Kawaguchi City, Saitama Prefecture 1-chome No. 25 No. 3","A company that conducts automobile parts development, manufacturing, sales, vehicles maintenance, etc.",https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/3c320da4-c604-4182-94e0-773695caf4a0
株式会社ＳＡＮＫＩ,Automobile and ride industry company,"Headquarters Address: Koto-ku, Tokyo 1-chome 21 No. 9 Three Yuuki Building",Company carrying out car oil leaks and repairs,https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/a255b137-17b1-4cee-b88f-b6ad64bb995e
栄水貿易株式会社,Automobile and ride industry company,Headquarters Address: Yamaguchi Prefecture Shimonoseki City Daiwa-cho 1-chome 16 No. 1 Koshinji Fishing Port Building 3rd floor 306,Company importing marine products and repair and cleaning of vessels,https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/ccbe7a17-3ffc-41af-afde-eacf098f9e94
東樺化成株式会社,Chemical industry company,"Headquarters Address: 1 of Shizuoka City Shizuoka City Shimizu-ku, Shimizu-ku, Shizuoka City, Shizuoka City",Company that plays recycling of plastic products,https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/5bbe3fda-46e2-440d-bcd2-b79546812f59
株式会社ナブ・コーポレーション,Chemical industry company,"Headquarters Address: Chuo-ku, Tokyo Nihutei Kushimacho 11th Nihon Bridge TS Building","Company that manufactures and sells asphalt combination adhesion preventing agent ""Nobuace""",https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/82febc3d-37cf-4b58-92f4-6b1f7451c95a
株式会社エイキューブ・インターナショナル,Chemical industry company,"Headquarters Address: Minato-ku, Tokyo 1-chome 10th No. 11 No. 11",Company that sells Japanese fertilizers and disinfectants,https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/e718a794-f9e0-4128-bbe3-33178c26c10a
株式会社ケミックス,Chemical industry company,"Headquarters Address: Yokohama City, Yokohama City, Kanagawa Prefecture Shin Yokohama 2-chome 15th 10",Companies that develop ingredients and wholesale of pharmaceutical ingredients and functional food ingredients,https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/56ff0c8d-8b38-40b0-987d-4379af87d9f3
株式会社ＲＸデータ,Communication equipment industry company,Headquarters Address: Arakawa Ward West Nishi Nippori 5-chome No. 13 13 Diamond Residence Nishiwa Sempir No. 202,"A company that performs web production, software and hardware development and selling",https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/449ff849-6bf3-4e5f-84b9-8a97e6ca9496
トーナコミュニケーションズジャパン株式会社,Communication industry company,"Headquarters Address: Shibuya-ku, Tokyo Miyako 1-chome 12 1 Shibuya Mark City","A company that operates international telephone service ""TONA""",https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/5d2ab156-54e3-4590-a3bf-73d1411a24b6
株式会社興健コーポレーション,Construction and construction industry company,Headquarters Address: Aichi Prefecture Kasugai City Nishiyama-cho 4-chome 9,"Company that conduct construction business, trade business, human resource introduction industry",https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/1ccc13ec-6396-4358-8ddb-4826604d86cf
株式会社日本有価センター,Construction and construction industry company,"Headquarters Address: Aichi Prefecture Nagoya City, Chiyoda, Chiyoda, Chiyoda, Nakado City, Nakado, Nakadata City No. 3 Lions City Tsurumai 402","In addition to dismantling work and scrapping, a company that develops deodorant ""Alpha Sky""",https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/7cc8e977-129d-4607-8aaf-682b61101e06
株式会社リバティ,Construction and construction industry company,"Headquarters Address: Chuo-ku, Fukuoka City, Fukuoka Prefecture 1-chome 1st 3-506","Environmental consulting, substitute sales of goods and electrical work, etc.",https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/b2a6854b-159c-4ff6-89f4-c96e9fc2fa14
株式会社フジサワ,Construction and construction industry company,Headquarters Address: Hyogo Prefecture Kanzaki-gun Kamikawa-cho Fukumoto 684,Company that manufactures stone and wholesale and landscaping,https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/06bbd736-0d19-4ab9-a64c-3ac9364b8f52
日進浄化槽センター株式会社,Construction and construction industry company,Headquarters Address: Kyoto Prefecture Kameoka City Oike No. 11,A company that is understood cleaning management and waste collection of septic tank,https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/c9ce813b-c572-483b-89fb-7cc08103028b
株式会社ネオ・ダ・ヴィンチ,Construction and construction industry company,Headquarters Address: Minato Ward Nishi Azabu 2-chome 12th No. 4,Company that sells luxury importer,https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/638c85ae-2a34-4237-ba5e-0af4c7799730
ピー・ジェイ・エル株式会社,Construction and construction industry company,"Headquarters Address: Minato Ward, Minato Ward, Tokyo 1st-chome 14th 7th Mountain Building",Company that conduct consulting and trade duties and inbound businesses on Russian businesses,https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/c566028b-5d8f-4098-a868-33090b923b72
株式会社ＡＡコーポレーションジャパン,Construction and construction industry company,"Headquarters Address: Minato-ku, Tokyo Toshiya 3-chome No.16",AA Corporation Japanese Agency Company,https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/bf49458c-c605-4b64-8693-1ccf3cca62db
株式会社ハマテック,Construction and construction industry company,Headquarters Address: Miyazaki Prefecture Child-gun Nishi-US Daijin Village 27,Company that conducts the energy business and civil engineering work business and overseas infrastructure development business,https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/98b57838-e9a0-4447-9727-c3163071b96d
株式会社つち寅,Construction and construction industry company,Headquarters Address: Osaka Prefecture Osaka City Nishinji-ku West 1-chome 8th No. 8,"Companies that do wholesale, civil engineering work and recycling of building materials",https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/a136aae9-f74e-4e7d-a9e2-98c57fb92473
シアカンパニー株式会社,Construction and construction industry company,"Headquarters Address: Sakai City, Sakai City, Sakai City, Saitama Prefecture 14th No. 14 No. 14",A company that carries out housing consulting and civil engineering materials,https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/dcfaeda7-74f1-4d94-a102-f06df3962b0c
栄泰総合サービス株式会社,Construction and construction industry company,"Headquarters Address: Shibuya 3-chome, Shibuya-ku, Tokyo, Shibuya, Shibuya-ku, Tokyo",Company that trade for construction industry and construction site fixtures,https://baseconnect.in/companies/keyword/2a970ee1-15a7-45e0-b1eb-37e738712447/companies/86cf69f1-6719-49c8-ae02-a8e61c7032ce
